ISBN,Title,Authors,Publisher,Published Date,Rating,Review Count
0452283914,The Best Democracy Money Can Buy,['Greg Palast'],Plume Books,2004,4.5,11.0
0425120279,The Hunt for Red October,['Tom Clancy'],Berkley,1990,4.0,36.0
067153484X,The Music Box,['Andrea Kane'],,1998,,
0380728273,Liberty Falling,['Nevada Barr'],Harper Collins,2000,3.5,8.0
8433914545,El palacio de la luna,['Paul Auster'],Editorial Anagrama,1996,4.5,11.0
8484509141,Mientras escribo,['Stephen King'],Distribooks,2002,,
0446606197,Killer Market,['Margaret Maron'],Grand Central Pub,1999-01-01,2.0,1.0
0771076002,Remembering Peter Gzowski,['Edna Barker'],Douglas Gibson Books,2002,,
0771088191,The Best Canadian Animal Stories,['Muriel Whitaker'],McClelland & Stewart Limited,1997,,
1559703237,Trying to Save Piggy Sneed,['John Irving'],Arcade Publishing,1996,3.0,10.0
0062770500,Seattle Access,"['HarperReference', 'J. Kingston Pierce']",Access Press (HarperCollins),1993,,
0060188731,Bel Canto,['Ann Patchett'],Harper Collins,2001-05-22,4.0,238.0
0140374248,James and the Giant Peach,['Roald Dahl'],Viking Books for Young Readers,1996-04-01,4.0,178.0
0142001740,The Secret Life of Bees,['Sue Monk Kidd'],Penguin Books,2003-01-28,4.0,359.0
0195086295,What a Wonderful World,"['Bob Thiele', 'Bob Golden']","Oxford University Press, USA",1995,4.5,13.0
0312995423,Digital Fortress,['Dan Brown'],Macmillan,2004-01-05,3.5,113.0
0380704587,Ladies of Missalonghi,['Colleen McCullough'],Harper Collins,1988-04-01,4.5,2.0
0380815923,Blackberry Wine,['Joanne Harris'],Harper Collins,2001-04-24,3.5,26.0
0385416342,The Firm,['John Grisham'],National Geographic Books,1991-02-01,4.0,52.0
0385418493,How the Irish Saved Civilization,['Thomas Cahill'],National Geographic Books,1996-02-01,3.5,46.0
038542471X,The Client,['John Grisham'],National Geographic Books,1993-02-01,4.5,2.0
0425098109,Thieves of Light,['Michael Hudson'],Berkley,1987,,
0449005410,Horse Heaven,['Jane Smiley'],National Geographic Books,2001-02-27,3.5,13.0
0449207544,Proof,['Dick Francis'],Fawcett Books,1985,4.0,17.0
0515128554,Heart of the Sea,['Nora Roberts'],Penguin,2000-12-01,4.0,13.0
0517577402,Mostly Harmless,['Douglas Adams'],Harmony,1992,3.0,50.0
0590450875,I Spy,"['Walter Wick', 'Jean Marzollo']",Cartwheel Books,1992-01-01,4.0,2.0
0590481371,I Spy Spooky Night,,Cartwheel Books,1996,4.0,1.0
067103619X,Lake News,['Barbara Delinsky'],,2000-05,3.5,8.0
0684177730,The Skull Beneath the Skin,['P. D. James'],Scribner Book Company,1982-01-01,3.5,16.0
0684180200,The New Shoe,['Arthur William Upfield'],Macmillan Publishing Company,1983,4.0,1.0
0743411269,An Accidental Woman,['Barbara Delinsky'],Pocket Books,2003-07-01,4.0,1.0
0743470389,The Snow Garden,['Christopher Rice'],Simon and Schuster,2004,3.5,12.0
076218857X,The Doorbell Rang,['Rex Stout'],,1968,4.0,14.0
0767905938,A Year by the Sea,['Joan Anderson'],National Geographic Books,2000-08-15,4.0,10.0
0800706544,Though I Walk Through the Valley,['Vance Havner'],Fleming H. Revell Company,1974-01-01,,
0801096677,Victorious Christians You Should Know,['Warren W. Wiersbe'],Baker Books,1997-07,,
0849953014,Book of Hebrews,['Max Lucado'],Nelson Reference & Electronic Pub,1997-02,,
0891091963,Inside Out,['Lawrence J. Crabb'],NavPress Publishing Group,1988-01,4.5,10.0
0915811537,Son-rise,['Barry Neil Kaufman'],H J Kramer,1994,,
0927545373,Unveiled at Last,['Bob Sjogren'],Y W A M Pub,1992,5.0,1.0
1575024179,The Day I Almost Quit,['Frederick J. Moody'],,1997-02,,
1880185008,Serving as Senders,['Neal Pirolo'],Emmaus Road International,1991-01-01,3.0,1.0
0140345809,House of Stairs,['William Sleator'],Puffin Books,1991-04-01,4.0,27.0
0156528207,The Little Prince,['Antoine de Saint-Exupry (author and illustrator)'],,1971,4.5,13.0
0451154916,The Crystal Handbook,['Kevin Sullivan'],Signet Book,1987,,
0785815147,Simple Wicca,['Michele Morgan'],Castle,2002-04,,
0875421288,"The Complete Book of Incense, Oils & Brews",['Scott Cunningham'],Llewellyn Worldwide Limited,1989,4.0,12.0
1567184294,The Western Mysteries,['David Allen Hulse'],Llewellyn Publications,2000,5.0,1.0
156718796X,Astral Travel for Beginners,['Richard Webster'],Llewellyn Worldwide,1998,4.0,1.0
1862047626,Runes,['Bernard King'],Element Books Limited,2000,,
0198320264,Julius Caesar,['William Shakespeare'],"Oxford University Press, USA",2001,5.0,1.0
0373245580,Marry Me... Again,['Cheryl St. John'],Silhouette,2003,,
0451527747,"Alice's Adventures in Wonderland ; &, Through the Looking-glass",['Lewis Carroll'],Signet Classics,2000,2.0,10.0
0671867113,Moonlight Becomes You,['Mary Higgins Clark'],Pocket Books,1997-05-01,4.0,3.0
0812504208,The Adventures of Tom Sawyer,['Mark Twain'],Aerie,1989,5.0,1.0
0060173289,Divine Secrets of the Ya-Ya Sisterhood,['Rebecca Wells'],Harper,1996-04-12,3.5,63.0
0060973897,Lakota Woman,['Dog Mary Crow'],Harper Perennial,1991-03-28,4.0,15.0
006101351X,The Perfect Storm,['Sebastian Junger'],HarperTorch,1998-06-03,4.0,53.0
0140104682,Heroes of Their Own Lives,['Linda Gordon'],Penguin Group USA,1989,,
0312143370,The Florence King Reader,['Florence King'],Macmillan,1996-05-15,5.0,1.0
0316666343,The Lovely Bones,['Alice Sebold'],Back Bay Books,2007-09-17,4.0,73.0
039456894X,Impossible Vacation,['Spalding Gray'],Alfred a Knopf Incorporated,1992,,
0440224675,Hannibal,['Thomas Harris'],Dell,2001,3.0,42.0
0449002632,London,['Edward Rutherfurd'],National Geographic Books,1998-03-28,,
0449213773,Life Before Man,"['Margaret Atwood', 'Margaret Eleanor Atwood']",Fawcett Books,1987,3.5,10.0
0452279690,Cavedweller,['Dorothy Allison'],Penguin Books,1999-05-01,,
0553569058,The Robber Bride,['Margaret Atwood'],Bantam,1995,4.0,72.0
0679427430,Wouldn't Take Nothing for My Journey Now,['Maya Angelou'],Random House,1993-09-21,4.0,10.0
0802114369,Ohitika Woman,"['Mary Brave Bird', 'Richard Erdoes']",Grove/Atlantic,1993,,
0803233019,Black Elk Speaks,"['Black Elk', 'John G. Neihardt']","Lincoln, Neb. : University of Nebraska Press",1979,4.0,21.0
0819154946,The Community in America,['Roland Leslie Warren'],University Press of Amer,1987,,
0897322339,"The Best in Tent Camping, Smoky Mountains",['Johnny Molloy'],Menasha Ridge Press,1997,,
0940322978,Mawrdew Czgowchwz,['James McCourt'],National Geographic Books,2002-02-01,4.5,2.0
1573225126,Prozac Nation,['Elizabeth Wurtzel'],,1995,3.5,26.0
1579651658,The Journey from Here,['Bill Bradley'],Artisan Books,2000-09-26,,
1878424319,The Four Agreements,"['Don Miguel Ruiz', 'Janet Mills']","Hay House, Inc",1997-11-07,3.5,3537.0
8401351421,El desarrollo de Leonardo da Vinci,['Luis Racionero'],"Plaza & Janes Editores, S.A.",1986-01-01,,
8427007450,Desaparecido,['Thomas Hauser'],,1982,,
8429736131,La dona dels ulls de pluja,['Víctor Mora'],,1993,,
8440616252,El paraíso,['Elena Castedo'],Ediciones B Grupo Zeta,1990,,
8478800336,Cómo ser una mujer y no morir en el intento,['Carmen Rico-Godoy'],Planeta,1990,,
8478884963,Una Casa en Irlanda,['Maeve Binchy'],,2000,,
8483002523,La mirada del tafur,['Ferran Torrent'],,1997,,
0600586898,Blur,['Paul Lester'],Hal Leonard Corporation,1995,,
1853260622,War and Peace,['graf Leo Tolstoy'],Wordsworth Editions,1993,3.5,3.0
1857938011,The A-Z of Behaving Badly,"['Simon Nye', 'Paul Dornan']","Pavilion Books, Limited",1995,,
0060804157,He,['Robert A. Johnson'],HarperCollins Publishers,1977,,
8466601090,Las dos muertes de Gardel,['Horacio Vázquez Rial'],,2001,,
0140382658,You Can Surf the Net!,['Marc Gascoigne'],Puffin,1996,,
0152012966,I Want to Be-- a Veterinarian,"[""Catherine O'Neill Grace"", 'Stephanie Maze']",Harcourt Childrens Books,1997,4.0,1.0
0312283784,Alice's Tulips,['Sandra Dallas'],Macmillan,2001-09-18,4.0,13.0
0345297709,Centaur Aisle,['Piers Anthony'],Del Rey,1981,3.5,6.0
0345313097,Crewel Lye,['Piers Anthony'],Del Rey,1985,4.0,7.0
0345335465,Dragonflight,['Anne McCaffrey'],National Geographic Books,1969,3.5,76.0
0385333404,Dating Big Bird,['Laura Zigman'],,2000,2.0,14.0
044021145X,The Firm,['John Grisham'],Dell,1992,4.0,52.0
0449212084,Murder at the Kennedy Center,['Margaret Truman'],Fawcett,1990-05-28,5.0,2.0
0553582682,Guinness World Records 2000,['Guinness World Records'],Bantam Books,2000-05-02,2.0,1.0
0590947257,Forever Amber Brown,['Paula Danziger'],Little Apple,1997,,
074345829X,Philip José Farmer's the Dungeon,"['Richard A. Lupoff', 'Philip José Farmer', 'Bruce Coville']",iBooks,2003,,
0786913878,Pool of Radiance,['Carrie Bebris'],,2001,,
0801491827,Feminism and Suffrage,['Ellen Carol DuBois'],,1980,,
0816729913,Why are Boys So Weird?,['Candice F. Ransom'],Troll Communications Llc,1994,,
0843136685,Sheldon & Mrs. Levine,"['Sam Bobrick', 'Julie Stein']",PSS Adult,1994,,
0866119531,Black Beauty,"['Deidre S. Laiken', 'Anna Sewell']",Playmore Publishers,1989,,
0866119566,Oliver Twist,['Charles Dickens'],Playmore Publishers,1989-05,4.0,1.0
0870441663,The Wild Ponies of Assateague Island,['Donna K. Grosvenor'],,1975,,
1561561428,Frankenstein,['Mary Wollstonecraft Shelley'],Kidsbooks LLC,1992-07,,
0553210092,The Scarlet Letter,['Nathaniel Hawthorne'],National Geographic Books,1981-02-01,4.0,5.0
0553258524,Dragonsong,['Anne McCaffrey'],Skylark,1977,4.0,44.0
1569471096,Was it Something I Said?,['Valerie Block'],Soho PressInc,1998,,
055358099X,Cloud Nine,['Luanne Rice'],Bantam,2000,5.0,3.0
0316168815,The Lovely Bones,['Alice Sebold'],Back Bay Books,2004-04-20,4.0,74.0
014023828X,The Tortilla Curtain,['T.C. Boyle'],National Geographic Books,1996-09-01,3.5,54.0
0316314927,Sarah Conley,['Ellen Gilchrist'],Back Bay Books,1998-08-17,,
0345424719,A Widow for One Year,['John Irving'],Ballantine Books,1999-03-23,4.0,63.0
0375414746,The Clearing,['Tim Gautreaux'],Knopf,2003,4.0,17.0
0375726403,Empire Falls,['Richard Russo'],Vintage,2002-04-12,4.0,5.0
0385503857,Oryx and Crake,['Margaret Atwood'],,2003,3.5,303.0
0425156842,Sophie's World,['Jostein Gaarder'],Berkley Publishing Group,1991,3.5,1914.0
0440226104,Black and Blue,['Anna Quindlen'],Dell Publishing Company,1999,3.5,29.0
0452277337,Le Divorce,['Diane Johnson'],National Geographic Books,1998-01-01,3.0,13.0
0553802488,The Face,['Dean Ray Koontz'],Bantam,2003,4.0,3.0
0671021001,She's Come Undone,['Wally Lamb'],Pocket Books,1998-06-01,4.0,25.0
0767903579,Falling Leaves,['Adeline Yen Mah'],Crown,1999-04-06,3.5,33.0
0805063897,Nickel and Dimed,['Barbara Ehrenreich'],Holt Paperbacks,2002,3.5,273.0
0679777431,The Game of Kings,['Dorothy Dunnett'],Vintage,1997,4.0,43.0
0553285343,The Russia House,['John Le Carré'],Bantam,1990,3.0,9.0
0486285529,Solv-a-crime Puzzles,"['A. C. Gordon', 'Kurt D. Singer', 'Singer Media Corporation']",Courier Corporation,1995-05-01,3.0,1.0
0671002481,The First Wives Club,['Olivia Goldsmith'],Simon and Schuster,1996,4.0,9.0
0812523385,Selected Poems of Emily Dickinson,['Emily Dickinson'],Macmillan,1993-02-15,3.5,3.0
0895774666,Watercolor School,['Hazel Harrison'],Readers Digest,1993,,
0020199090,Joshua in the Holy Land,['Joseph F. Girzone'],Simon & Schuster Books For Young Readers,1993,5.0,1.0
0679733825,Sisters of the Earth,['Lorraine Anderson'],Vintage,1991,5.0,1.0
0842329129,Left Behind,"['Tim LaHaye', 'Jerry B. Jenkins']",Tyndale House Pub,1998,3.5,3848.0
0345451260,Househusband,['Ad Hudler'],,2002,3.5,4.0
0740700235,"Rinkitink in Oz. (Wonderful Oz Books, Book 10.)",['Lyman Frank Baum'],Harper Collins,1980,4.0,4.0
0380973545,Letters from a Nut,['Ted L. Nancy'],Harper Collins,2001-01-01,3.5,25.0
0393321576,Karl Marx,['Francis Wheen'],W. W. Norton & Company,2000,4.0,7.0
0743424425,The Shining,['Stephen King'],Pocket,2001-08-28,4.0,2857.0
0786868015,The Diary of Ellen Rimbauer,['Steven Rimbauer'],Hyperion Books,2002-01-09,4.0,22.0
0446610178,The Sky Is Falling,['Sidney Sheldon'],Grand Central Publishing,2001-07-01,3.5,10.0
0684854953,Santa & Pete,"['Christopher Moore', 'Pamela Johnson']",,1998,,
0380617625,The Kingdom,['Robert Lacey'],Avon Books,1983,4.5,3.0
0380732335,Florida Roadkill,['Tim Dorsey'],HarperTorch,2000-05-30,3.5,18.0
0440235057,Be Cool,['Elmore Leonard'],Dell Publishing Company,2000-01,3.5,7.0
0445402040,The Hunted,['Elmore Leonard'],Popular Library,1986,2.5,5.0
0618119760,Saints of Big Harbour,['Lynn Coady'],Houghton Mifflin Harcourt,2002,3.0,1.0
0871138646,Old Flames,['John Lawton'],,2003,4.0,6.0
0026329859,From the Earth,['Eileen Yin-Fei Lo'],John Wiley & Sons Incorporated,1995,5.0,1.0
0060621257,Living in the Presence,['Tilden Edwards'],Harpercollins,1987,,
0060915544,The Bean Trees,['Barbara Kingsolver'],Harper Perennial,1989-02-15,4.0,102.0
0060917016,Homeland and Other Stories,['Barbara Kingsolver'],Harper Perennial,1990-04-13,3.5,7.0
0060925000,A Suitable Boy,['Vikram Seth'],Harpercollins,1993,3.5,70.0
0061000280,The Fly on the Wall,['Tony Hillerman'],HarperTorch,1990-05-15,3.0,11.0
0192815318,Cranford,['Elizabeth Cleghorn Gaskell'],,1980,3.5,62.0
0312195516,The Red Tent,['Anita Diamant'],Picador,1998-09-15,4.0,3657.0
0380792664,The Right Hand of Amon,['Lauren Haney'],Avon,1997-11-01,3.5,3.0
0393048977,Last Blue,['Gerald Stern'],W. W. Norton,2000,,
0399137807,The Cat who Wasn't There,['Lilian Jackson Braun'],Putnam Publishing Group,1992,4.0,5.0
039914739X,Isle of Dogs,['Patricia Daniels Cornwell'],Putnam Adult,2001,2.0,11.0
0451203046,Light a Penny Candle,['Maeve Binchy'],Penguin,2001-02-01,3.5,17.0
0451410556,The Blue Last,['Martha Grimes'],Berkley,2002,4.0,3.0
0451523318,The Turn of the Screw and Other Short Novels,['Henry James'],Signet Classics,1962,5.0,1.0
0486281965,The Country of the Pointed Firs,['Sarah Orne Jewett'],Courier Corporation,1994,4.0,24.0
0486292940,Early Poems,['William Carlos Williams'],Courier Corporation,1997,4.0,1.0
051762639X,Barchester Towers,['Anthony Trollope'],Random House Value Pub,1986-11,5.0,1.0
0684824442,Reef,['Edith Wharton'],Simon and Schuster,1996-07-24,4.0,5.0
081296666X,Things My Girlfriend and I Have Argued About,['Mil Millington'],Villard,2003-01-14,4.0,12.0
0819215635,Listening Hearts,"['Joseph P. Gill', 'R. Taylor McLean', 'Susan M. Ward']",Morehouse Publishing,1991,3.5,2.0
0880011025,"Unattainable Earth,",['Czeslaw Milosz'],Ecco,1987-09-21,,
1561011525,The Practice of Prayer,['Margaret Guenther'],Rowman & Littlefield,1998,5.0,1.0
1877727083,Vertical Poetry,['Roberto Juarroz'],White Pine Press (NY),1992,,
0486206173,Rubinstein's Chess Masterpieces,['Akiba Rubinstein'],Courier Corporation,1960-01-01,5.0,1.0
0312278586,The Nanny Diaries,"['Emma Mclaughlin', 'Nicola Kraus']",Macmillan,2002-03-13,3.0,3672.0
8845229041,Sulla sponda del fiume Piedra mi sono seduta e ho pianto,['Paulo Coelho'],,1996,,
887641486X,I giorni dell'abbandono,['Elena Ferrante'],E/O,2002,,
0140370900,The Gizmo,['Paul Jennings'],Penguin Global,1994,4.0,3.0
0674511255,The Last Best Hope of Earth,['Mark E. Neely'],,1993,3.5,3.0
0312965745,Secrets of St. John's Wort,['Larry Katzenstein'],St. Martin's Paperbacks,1998-01-15,,
0345374657,Diet for a Poisoned Planet,['David Steinman'],,1992,,
0395710901,Punished by Rewards,['Alfie Kohn'],Houghton Mifflin Harcourt,1993-01-01,4.5,3.0
080521061X,Montessori Today,['Paula Polk Lillard'],Schocken,1996-01-30,,
0823032612,Sketching Techniques,['Mary Suffudy'],,1985,,
0679310002,Going Down Swinging,['Billie Livingston'],Random House of Canada Limited,1999,5.0,3.0
0312288115,Confessions of a Sociopathic Social Climber,['Adele Lang'],Macmillan,2002-06-04,3.0,12.0
0316171107,Like a Hole in the Head,['Jen Banbury'],Little Brown,1998-01,5.0,1.0
0380710218,Postmortem,['Patricia Daniels Cornwell'],,1991,3.0,4.0
0515118656,The Cove,['Catherine Coulter'],Berkley,1996-04-01,2.5,19.0
0553289063,An Inconvenient Woman,['Dominick Dunne'],Bantam,1991,4.5,2.0
0671000306,Shock Wave,['Clive Cussler'],Pocket Books,1996,3.5,7.0
0671673688,While My Pretty One Sleeps,['Mary Higgins Clark'],Pocket Books,1990-07-01,4.0,6.0
0425178242,Kick Ass,['Carl Hiaasen'],Berkley Publishing Group,2001,,
0618173870,Everything is Illuminated,['Jonathan Safran Foer'],Houghton Mifflin Harcourt,2002,3.5,160.0
0375403582,Rules of the Wild,['Francesca Marciano'],Pantheon,1998,2.5,6.0
0385721420,Three Junes,['Julia Glass'],Anchor,2002,3.5,69.0
0451202341,Back Roads,"[""Tawni O'Dell""]",Penguin,2001-01-01,3.5,27.0
0743418190,In Her Shoes,['Jennifer Weiner'],Beyond Words/Atria Books,2002-09-17,3.5,53.0
0385335407,The Kiss,['Danielle Steel'],"Random House Digital, Inc.",2001,5.0,1.0
0965746828,Home Spun,['Leon Hale'],Winedale Pub,1997,,
0060923245,Sweet Hereafter,['Russell Banks'],Harper Perennial,1992-06-26,4.0,20.0
0486272664,The Rime of the Ancient Mariner and Other Poems,['Samuel Taylor Coleridge'],Courier Corporation,1992-09-18,4.0,3.0
0786015276,11th Hour,['Bradley Warshauer'],Pinnacle Books,2003,,
0060913509,In Country RI,['Bobbie Ann Mason'],Harper Perennial,1986-10-22,3.0,7.0
0553272837,Brazen Virtue,['Nora Roberts'],National Geographic Books,1988-05-01,3.5,9.0
0440225078,Ghost Moon,['Karen Robards'],National Geographic Books,2001-10-09,3.5,9.0
0312145543,Brewing Up a Storm,['Emma Lathen'],Minotaur Books,1996,3.0,1.0
0425181111,Strangers,['Dean Koontz'],National Geographic Books,2002-10-01,3.5,16.0
0380732688,Milk and Honey,['Faye Kellerman'],Avon,2002-12-31,3.5,8.0
0140286276,The Deep End of the Ocean,['Jacquelyn Mitchard'],National Geographic Books,1999-10-01,5.0,1.0
0373484100,Night Tales,['Nora Roberts'],Silhouette,2000,4.5,3.0
0449907481,A Thousand Acres,['Jane Smiley'],Fawcett Books,1992,3.5,56.0
0553107305,Chopping Spree,['Diane Mott Davidson'],Bantam,2002,3.5,11.0
080213825X,Four Blondes,['Candace Bushnell'],,2001,2.5,14.0
0515127833,River's End,['Nora Roberts'],Penguin,2000-05-01,5.0,4.0
0345441133,Summer Island,['Kristin Hannah'],National Geographic Books,2002-06-25,3.0,20.0
0515134279,The Straw Men,['Michael Marshall'],Penguin,2002,3.5,12.0
0945586051,The Doctor/the Patient,['Allen Widome'],,1989-01-01,,
0385490992,The Street Lawyer,['John Grisham'],Doubleday,1998-02-16,3.5,42.0
0385424728,The Chamber,['John Grisham'],Doubleday,1994,3.5,19.0
0312980388,Warlock,['Wilbur Smith'],Macmillan,2002-09-16,4.0,15.0
0385472951,The Partner,['John Grisham'],Doubleday,1997-02-26,5.0,2.0
0451195663,Primal Scream,['Michael Slade'],Signet,1998,4.0,1.0
0425182878,Chosen Prey,['John Sandford'],Berkley,2002,4.0,17.0
0553564528,Guilty as Sin,['Tami Hoag'],Bantam,1997,3.5,9.0
055356451X,Night Sins,['Tami Hoag'],Bantam,1995-12-01,4.5,2.0
0743412621,The Second Time Around,['Mary Higgins Clark'],Pocket Books,2004-04-01,5.0,2.0
0849943728,Three,['Ted Dekker'],WestBow Press,2003,3.5,42.0
0849943450,The Canopy,['Angela Elwell Hunt'],Thomas Nelson Inc,2003,4.5,9.0
084994371X,Blink,['Ted Dekker'],Thomas Nelson,2002,4.0,48.0
0020442408,Prince Caspian,['Clive Staples Lewis'],,1970,,
0553225987,Robert's Rules of Order,['Will Eisner'],Bantam,1986-10-01,5.0,1.0
042517736X,Abduction,['Robin Cook'],Penguin,2000,3.0,4.0
038549825X,Not a Day Goes by,['E. Lynn Harris'],Anchor,2001,4.0,2.0
0553202294,Linda Goodman's Sun Signs,['Linda Goodman'],Bantam Books,1981-07-01,4.5,8.0
0345313860,The Vampire Lestat,['Anne Rice'],Ballantine Books,1986-09-12,5.0,5.0
0345369947,The Mummy Or Ramses the Damned,['Anne Rice'],Random House LLC,1991,3.5,5.0
067170124X,His Little Women,['Judith Rossner'],,1991,,
0345353625,Her Mother's Daughter,['Marilyn French'],,1988,4.5,4.0
0308102282,Your Erroneous Zones,['Wayne W. Dyer'],Funk & Wagnalls Company,1976-01,4.0,11.0
006017143X,The Night Listener,['Armistead Maupin'],Harper,2000-09-19,3.5,9.0
0679401377,The Hellfire Club,['Peter Straub'],Random House Incorporated,1996,3.5,5.0
1562827049,The Diary of Jack the Ripper,['Shirley Harrison'],Hyperion,1993-10-31,3.5,5.0
0385306032,Vanished,['Danielle Steel'],,1993,3.0,3.0
0821772953,The Morning After,['Lisa Jackson'],Zebra Books,2004,4.0,6.0
0345379454,Missing Susan,['Sharyn McCrumb'],,1992,3.0,5.0
0553576925,Hiding in the Shadows,['Kay Hooper'],National Geographic Books,2000-10-03,3.5,8.0
0743206053,Kitchen Privileges,['Mary Higgins Clark'],,2002,3.0,9.0
0688169678,We Are Our Mothers' Daughters,['Cokie Roberts'],Harper Collins,2000-04-05,,
0439319552,Horus's Horrible Day,['Shana Corey'],Arthur A. Levine Books,2001-08-01,,
0590870157,My Garden,['Jesse S. Ostrow'],Scholastic Incorporated,1994,,
0440441501,In the Dinosaur's Paw,['Patricia Reilly Giff'],Yearling Books,1992,,
0590687301,Ralph S. Mouse,['Beverly Cleary'],,1982,3.0,12.0
0439061644,The First Journey,['K. A. Applegate'],Scholastic Paperbacks,1999,,
0439569842,How Do Dinosaurs Learn to Read?,['Jane Yolen'],,2003,3.5,2.0
0307118703,My First Book about Space,['Dinah L. Moché'],Golden Books,1982,,
0590418858,You be the Jury,['Marvin Miller'],,1989,3.0,1.0
030720152X,Comic Characters,['Craig Boldman'],,1983,,
0816728739,The Time Machine,"['H. G. Wells', 'Raymond James']",Troll Communications Llc,1993,4.0,19.0
0812519655,Sacred Ground,['Mercedes Lackey'],Macmillan,1995-05-15,3.0,5.0
0812524853,Burning Water,['Mercedes Lackey'],Macmillan,1992-10-15,3.0,19.0
0449211770,The Tightrope Walker,['Dorothy Gilman'],Fawcett,1986-10-12,4.0,3.0
193072229X,MoveOn's 50 Ways to Love Your Country,['MoveOn.org'],New World Library,2004,2.0,3.0
0812521129,Children of the Night,['Mercedes Lackey'],Tor Books,1990,3.5,14.0
0345251733,Rainbow,['Christopher Finch'],,1976,,
1400077826,Cold Mountain,['Charles Frazier'],Vintage,2003,4.0,99.0
0312995431,A Fountain Filled With Blood,['Julia Spencer-Fleming'],Macmillan,2004-04-19,4.0,28.0
0312312628,Out of the Deep I Cry,['Julia Spencer-Fleming'],Macmillan,2004-04-26,4.0,22.0
0590021117,Little House on the Prairie,['Laura Ingalls Wilder'],,1953,4.5,28.0
068484267X,Angela's Ashes,['Frank McCourt'],Simon and Schuster,1999-05-25,4.0,14.0
0553578693,The Next Accident,['Lisa Gardner'],Bantam,2001,4.0,2.0
0380709260,Socks,['Beverly Cleary'],Harpercollins Childrens Books,2008-04-08,3.5,14.0
0807565288,The Pet Shop Mystery,['Gertrude Chandler Warner'],Albert Whitman,1996-01-01,5.0,1.0
0312986769,In the Bleak Midwinter,['Julia Spencer-Fleming'],Macmillan,2003-03-14,4.0,80.0
0345413377,The Amber Spyglass,['Philip Pullman'],Del Rey,2001,3.5,192.0
0679893105,The Golden Compass,['Philip Pullman'],Knopf Books for Young Readers,1996,4.0,333.0
0061096091,Eyeshot,['Lynn S. Hightower'],Harpercollins,1997,,
0345369068,"If Ever I Return, Pretty Peggy O",['Sharyn McCrumb'],Fawcett,1991-08-13,3.5,10.0
0451184718,The Rosewood Casket,['Sharyn McCrumb'],Signet Book,1997,3.5,6.0
0449209121,The Amazing Mrs. Pollifax,['Dorothy Gilman'],Fawcett,1970,3.5,19.0
0060938455,Fast Food Nation,['Eric Schlosser'],Harper Perennial,2002-01-01,4.0,109.0
080411952X,The Unsung Hero,['Suzanne Brockmann'],Ivy Books,2000-06-06,3.5,29.0
0060575808,The Two Princesses of Bamarre,['Gail Carson Levine'],Eos,2004-03-01,3.5,29.0
0060558865,Ella Enchanted,['Gail Carson Levine'],HarperCollins,1997-04-25,4.0,205.0
0767912918,Passing for Thin,['Frances Kuffel'],Crown Archetype,2004,4.5,2.0
0553298860,Bloodlines,['Susan Conant'],Crimeline,1993-12,3.0,3.0
0385335679,Kissing in Manhattan,['David Schickler'],National Geographic Books,2002-08-27,2.0,40.0
0671525832,Someone to Watch Over Me,['Judith McNaught'],Simon and Schuster,2003-11,3.5,13.0
0553279572,The Toynbee Convector,['Ray Bradbury'],Spectra,1989,3.5,8.0
0679450432,Dark Lady,['Richard North Patterson'],Knopf,1999,2.5,2.0
0821775863,The Future Scrolls,['Fern Michaels'],,2003,2.5,3.0
0821770209,About Face,['Fern Michaels'],Zebra Books,2003,,
0670855758,Tarot Says Beware,['Betsy Cromer Byars'],Viking Juvenile,1995,,
0553562819,Globalhead,['Bruce Sterling'],Spectra,1994-10,3.0,3.0
0446364193,Along Came a Spider,['James Patterson'],Grand Central Publishing,1993-12-01,4.5,13.0
0446519138,Simple Abundance,['Sarah Ban Breathnach'],Warner Books (NY),1995,3.5,23.0
0425179672,The River King,['Alice Hoffman'],Berkley,2001-07-01,4.0,23.0
0061042943,Final Appeal,['Lisa Scottoline'],HarperTorch,1994-09-26,3.5,7.0
0399144463,Who Moved My Cheese?,['Spencer Johnson'],Putnam Publishing Group,1998,3.5,3192.0
0965404560,Atonement,['Ian McEwan'],,2001,3.5,451.0
006015781X,Why Do Clocks Run Clockwise? and Other Imponderables,['David Feldman'],HarperCollins,1987,4.0,4.0
0060930705,Someone to Watch Over Me,['Richard Bausch'],Harper Collins,2009-03-17,4.0,2.0
0312206763,Stately Pursuits,['Katie Fforde'],Macmillan,1999-08-21,2.0,7.0
0316116025,The Pinball Effect,['James Burke'],Little Brown & Company,1996,,
0156013967,"My Father, Dancing",['Bliss Broyard'],Harper Perennial,2000,,
0385314019,Women on the Case,['Sara Paretsky'],,1996,,
0743444167,New Cardiff,['Charles Webb'],Washington Square Press,2002-01-01,,
0618231617,Almost,['Elizabeth Benedict'],Mariner Books,2002,4.0,5.0
1567920047,A Tally of Types,['Stanley Morison'],David R Godine Pub,1999,,
0811203220,Stand Still Like the Hummingbird,['Henry Miller'],New Directions Publishing,1962,4.5,4.0
1573229148,Crossing the Unknown Sea,['David Whyte'],National Geographic Books,2002-04-02,4.0,3.0
0787955671,The Future of Leadership,['Warren G. Bennis'],Jossey-Bass,2001-05-23,,
0425174484,Expecting Adam,['Martha Nibley Beck'],Berkley Publishing Group,2000,3.5,19.0
